DokID ,DokName ,,,,,
1Cl1k0OYjdubR0_BqiFp2xaRGeRpqqUz8pucX7iQwIQ8 ,Anforderungen ,,,,,
1kapEE9ui6oYu-uUZF6qjg-j85iJz_w7lNmtyLHZA7lc ,KickOff ,,,,,
,,,,,,
1mC30R185Km9Y9HoE2uUgVDJi41IXKelPJEBhBeXH2PY ,Aufgabenliste ,,,,,
1jQFZmcS__-CtScjqd3g5KKM8xepPnMSqaepy2ag2jNc ,Meilensteine ,,,,,
1gnH6sv3VqGEveSSf0SoS7dJqWaUyUnZm6-QrdiH7vCM ,Projektplanung ,,,,,
,,,,,,
,,,,,,
1Ktol-SWvAh8pnHG2O7HdPrfbEVZWX3Vf2YIPYXA_8gI ,Finanzreport ,,,,,
1jYsTPJH8gaIiATix9x34Ekcj31ifJMkPNb0RmxnuGxs ,Kostenaufstellung ,,,,,
1SAI8Y7j6kNfbbdYVaUpEPipzy-WhcvmuPRynSg76UIM ,Kostenplanung ,,,,,
,,,,,,
,,,,,,
,,,,,,
Lisa,Kostenplanung ,Kostenre hnung,,,,
Haruki,Projektplanung ,Projektplaner,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Vorname,Nachname,Mail-Adresse,Passwort,Geschlecht,Standort,
Lisa,Meier,lisameier3141@gmail.com,BrokenBits2017,w,Deutschland,100213199594809398744
Haruki,Hakashima,harukihakashima@gmail.com,StarCars2017,m,Japan,109237104808355974086
Hang,Outs,hangouts767@gmail.com,Hangouts2017,m,Japan,102231370704961491439
Claude,Systém,claudesystem@gmail.com,Cloudsystem2017,m,Frankreich,103097844766993716459
,,,,,,
,,,,,,
,,,,,,
,,,,,,
100000000000000000000,1Cl1k0OYjdubR0_BqiFp2xaRGeRpqqUz8pucX7iQwIQ8 ,favorisiert,,,,
100000000000000000000,1kapEE9ui6oYu-uUZF6qjg-j85iJz_w7lNmtyLHZA7lc ,favorisiert,,,,
100000000000000000000,1mC30R185Km9Y9HoE2uUgVDJi41IXKelPJEBhBeXH2PY ,neutral,,,,
100000000000000000000,1jQFZmcS__-CtScjqd3g5KKM8xepPnMSqaepy2ag2jNc ,neutral,,,,
100000000000000000000,1gnH6sv3VqGEveSSf0SoS7dJqWaUyUnZm6-QrdiH7vCM ,neutral,,,,
100000000000000000000,1Ktol-SWvAh8pnHG2O7HdPrfbEVZWX3Vf2YIPYXA_8gI ,neutral,,,,
100000000000000000000,1jYsTPJH8gaIiATix9x34Ekcj31ifJMkPNb0RmxnuGxs ,neutral,,,,
100000000000000000000,1SAI8Y7j6kNfbbdYVaUpEPipzy-WhcvmuPRynSg76UIM ,neutral,,,,
100000000000000000001,1Cl1k0OYjdubR0_BqiFp2xaRGeRpqqUz8pucX7iQwIQ8 ,neutral,,,,
100000000000000000001,1kapEE9ui6oYu-uUZF6qjg-j85iJz_w7lNmtyLHZA7lc ,neutral,,,,
100000000000000000001,1mC30R185Km9Y9HoE2uUgVDJi41IXKelPJEBhBeXH2PY ,favorisiert,,,,
100000000000000000001,1jQFZmcS__-CtScjqd3g5KKM8xepPnMSqaepy2ag2jNc ,favorisiert,,,,
100000000000000000001,1gnH6sv3VqGEveSSf0SoS7dJqWaUyUnZm6-QrdiH7vCM ,favorisiert,,,,
100000000000000000001,1Ktol-SWvAh8pnHG2O7HdPrfbEVZWX3Vf2YIPYXA_8gI ,neutral,,,,
100000000000000000001,1jYsTPJH8gaIiATix9x34Ekcj31ifJMkPNb0RmxnuGxs ,neutral,,,,
100000000000000000001,1SAI8Y7j6kNfbbdYVaUpEPipzy-WhcvmuPRynSg76UIM ,neutral,,,,
100000000000000000002,1Cl1k0OYjdubR0_BqiFp2xaRGeRpqqUz8pucX7iQwIQ8 ,neutral,,,,
100000000000000000002,1kapEE9ui6oYu-uUZF6qjg-j85iJz_w7lNmtyLHZA7lc ,neutral,,,,
100000000000000000002,1mC30R185Km9Y9HoE2uUgVDJi41IXKelPJEBhBeXH2PY ,neutral,,,,
100000000000000000002,1jQFZmcS__-CtScjqd3g5KKM8xepPnMSqaepy2ag2jNc ,neutral,,,,
100000000000000000002,1gnH6sv3VqGEveSSf0SoS7dJqWaUyUnZm6-QrdiH7vCM ,neutral,,,,
100000000000000000002,1Ktol-SWvAh8pnHG2O7HdPrfbEVZWX3Vf2YIPYXA_8gI ,favorisiert,,,,
100000000000000000002,1jYsTPJH8gaIiATix9x34Ekcj31ifJMkPNb0RmxnuGxs ,favorisiert,,,,
100000000000000000002,1SAI8Y7j6kNfbbdYVaUpEPipzy-WhcvmuPRynSg76UIM ,favorisiert,,,,
100000000000000000003,1Cl1k0OYjdubR0_BqiFp2xaRGeRpqqUz8pucX7iQwIQ8 ,neutral,,,,
100000000000000000003,1kapEE9ui6oYu-uUZF6qjg-j85iJz_w7lNmtyLHZA7lc ,neutral,,,,
100000000000000000003,1mC30R185Km9Y9HoE2uUgVDJi41IXKelPJEBhBeXH2PY ,favorisiert,,,,
100000000000000000003,1jQFZmcS__-CtScjqd3g5KKM8xepPnMSqaepy2ag2jNc ,favorisiert,,,,
100000000000000000003,1gnH6sv3VqGEveSSf0SoS7dJqWaUyUnZm6-QrdiH7vCM ,favorisiert,,,,
100000000000000000003,1Ktol-SWvAh8pnHG2O7HdPrfbEVZWX3Vf2YIPYXA_8gI ,neutral,,,,
100000000000000000003,1jYsTPJH8gaIiATix9x34Ekcj31ifJMkPNb0RmxnuGxs ,neutral,,,,
100000000000000000003,1SAI8Y7j6kNfbbdYVaUpEPipzy-WhcvmuPRynSg76UIM ,neutral,,,,
100000000000000000004,1Cl1k0OYjdubR0_BqiFp2xaRGeRpqqUz8pucX7iQwIQ8 ,favorisiert,,,,
100000000000000000004,1kapEE9ui6oYu-uUZF6qjg-j85iJz_w7lNmtyLHZA7lc ,favorisiert,,,,
100000000000000000004,1mC30R185Km9Y9HoE2uUgVDJi41IXKelPJEBhBeXH2PY ,neutral,,,,
100000000000000000004,1jQFZmcS__-CtScjqd3g5KKM8xepPnMSqaepy2ag2jNc ,neutral,,,,
